ID,Distance,Galactocentric Radius,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBbul,Radius,gobs,gbar,L10(gobs),L10(gbar),tdyn,tdyn,Luminosity,Mass
,Mpc,kpc,km/s,km/s,km/s,km/s,km/s,,,m,m/s2,,,,seconds,Gyr,,
F583-1,35.4,2.54,44.8,4.5,-4.08,20.16,0,9.2,0,7.83844E+19,2.56051E-11,5.3974E-12,-10.59167361,-11.26781535,3.81086E+15,0.120826114,0.986,2.126
F583-1,35.4,3.1,51.7,12.7,-5.16,22.16,0,8.56,0,9.5666E+19,2.79398E-11,5.41144E-12,-10.55377653,-11.26668683,4.20458E+15,0.133309327,0.986,2.126
F583-1,35.4,3.43,55.7,4.5,-4.94,23.71,0,7.6,0,1.0585E+20,2.93103E-11,5.54151E-12,-10.53297965,-11.2563719,4.3705E+15,0.13857002,0.986,2.126
F583-1,35.4,3.86,59.4,9.85,-3.07,24.94,0,6.05,0,1.1912E+20,2.96203E-11,5.30079E-12,-10.52841034,-11.27565905,4.74047E+15,0.150300162,0.986,2.126
F583-1,35.4,4.09,62,4.5,1.31,25.34,0,5.43,0,1.26217E+20,3.04554E-11,5.10097E-12,-10.51633585,-11.29234687,4.97431E+15,0.157714405,0.986,2.126
F583-1,35.4,4.37,63,3.2,4.42,25.74,0,4.75,0,1.34858E+20,2.94309E-11,5.05779E-12,-10.53119626,-11.2960395,5.16367E+15,0.163718116,0.986,2.126
F583-1,35.4,4.76,66.6,6.9,7.13,26.09,0,3.9,0,1.46894E+20,3.01957E-11,4.97997E-12,-10.52005442,-11.3027737,5.43111E+15,0.172197404,0.986,2.126
F583-1,35.4,5.4,71.3,2.95,11.25,26.17,0,2.77,0,1.66644E+20,3.05063E-11,4.86925E-12,-10.51561062,-11.31253787,5.85011E+15,0.185482136,0.986,2.126
F583-1,35.4,5.86,72.3,15.5,13.88,25.92,0,2.15,0,1.8084E+20,2.89057E-11,4.78048E-12,-10.53901694,-11.32052814,6.15051E+15,0.195006528,0.986,2.126
F583-1,35.4,6.08,73.4,6,14.94,25.73,0,1.92,0,1.87629E+20,2.87139E-11,4.71802E-12,-10.54190738,-11.32624019,6.30623E+15,0.199943899,0.986,2.126
F583-1,35.4,6.43,72.4,5.81,16.72,25.39,0,1.61,0,1.9843E+20,2.64162E-11,4.65762E-12,-10.57812976,-11.331836,6.52712E+15,0.206947296,0.986,2.126
F583-1,35.4,6.97,77.1,12.1,19.67,24.74,0,1.25,0,2.15094E+20,2.76363E-11,4.64437E-12,-10.55851994,-11.33307343,6.80536E+15,0.215769162,0.986,2.126
F583-1,35.4,7.96,80.3,13.5,24.09,23.76,0,0.92,0,2.45646E+20,2.62496E-11,4.66064E-12,-10.5808779,-11.33155445,7.25992E+15,0.230181295,0.986,2.126
F583-1,35.4,10.29,84.7,6,31.66,22.09,0,0.37,0,3.17549E+20,2.2592E-11,4.6932E-12,-10.64604448,-11.32853069,8.22566E+15,0.260801031,0.986,2.126
F583-1,35.4,15.49,86.9,5.6,39.34,17.78,0,0,0,4.78021E+20,1.57976E-11,3.89891E-12,-10.80140779,-11.40905642,1.10727E+16,0.351067148,0.986,2.126
F583-1,35.4,16.26,85.8,8.6,39.55,17.09,0,0,0,5.01784E+20,1.46709E-11,3.69934E-12,-10.83354189,-11.43187518,1.16465E+16,0.369261586,0.986,2.126
F583-4,53.3,0.22,10.7,4.9,0.47,5.59,0,69.18,0,6.7892E+18,1.68635E-11,4.63516E-12,-10.77305105,-11.33393566,1.21026E+15,0.038372089,1.715,0.641
F583-4,53.3,0.76,24.7,4.9,1.87,17.63,0,60.07,0,2.34536E+19,2.60126E-11,1.34015E-11,-10.58481561,-10.87284606,1.3229E+15,0.041943638,1.715,0.641
F583-4,53.3,1.31,38.9,4.9,3.27,26.64,0,42.04,0,4.04266E+19,3.7431E-11,1.78195E-11,-10.42676801,-10.74910406,1.50621E+15,0.047755561,1.715,0.641
F583-4,53.3,1.94,42.7,7.89,4.87,32.27,0,31.07,0,5.98684E+19,3.0455E-11,1.77902E-11,-10.5163419,-10.74981958,1.83446E+15,0.058163017,1.715,0.641
F583-4,53.3,3.92,55,4.9,8.5,38.26,0,9.64,0,1.20971E+20,2.5006E-11,1.26979E-11,-10.60195661,-10.89626883,3.08656E+15,0.097861918,1.715,0.641
F583-4,53.3,4.35,57.2,4.9,9.17,38.43,0,8.68,0,1.34241E+20,2.43729E-11,1.1628E-11,-10.61309312,-10.93449513,3.39774E+15,0.107727967,1.715,0.641
F583-4,53.3,5,59.8,4.9,10.3,39.09,0,6.38,0,1.543E+20,2.31759E-11,1.05905E-11,-10.63496356,-10.97508249,3.81702E+15,0.121021496,1.715,0.641
F583-4,53.3,5.05,62.5,3.43,10.4,39.06,0,6.2,0,1.55843E+20,2.50653E-11,1.04839E-11,-10.60092727,-10.97947682,3.85551E+15,0.122241978,1.715,0.641
F583-4,53.3,5.83,61.8,3.98,12.1,38.38,0,3.7,0,1.79914E+20,2.12282E-11,9.00117E-12,-10.67308753,-11.04570112,4.47077E+15,0.14174936,1.715,0.641
F583-4,53.3,6.09,64.4,4.9,12.72,38.13,0,3.52,0,1.87937E+20,2.20678E-11,8.59699E-12,-10.65624148,-11.06565375,4.67556E+15,0.148242181,1.715,0.641
F583-4,53.3,6.74,67.2,4.9,14.18,39.23,0,2.89,0,2.07996E+20,2.17111E-11,8.36584E-12,-10.66331727,-11.07749027,4.98624E+15,0.158092532,1.715,0.641
F583-4,53.3,7.29,69.9,4.9,15.33,36.96,0,0,0,2.24969E+20,2.17186E-11,7.11675E-12,-10.6631691,-11.14771842,5.62239E+15,0.178262193,1.715,0.641
IC2574,3.91,0.85,10.3,0.2,0,9.59,0,16.75,0,2.6231E+19,4.04445E-12,3.50608E-12,-11.3931404,-11.45517763,2.73525E+15,0.086723052,1.016,1.036
IC2574,3.91,1.14,12.9,2.7,0,11.99,0,14.92,0,3.51804E+19,4.73019E-12,4.08637E-12,-11.32512135,-11.38866241,2.93415E+15,0.093029332,1.016,1.036
IC2574,3.91,1.42,16.4,1.8,0.94,13.83,0,13.07,0,4.38212E+19,6.13767E-12,4.38492E-12,-11.21199657,-11.35803823,3.16127E+15,0.100230422,1.016,1.036
IC2574,3.91,1.71,18.6,2.1,3.44,15.27,0,11.58,0,5.27706E+19,6.55592E-12,4.64286E-12,-11.18336614,-11.33321443,3.37135E+15,0.106891098,1.016,1.036
IC2574,3.91,1.99,19.8,2,5.14,16.76,0,10.8,0,6.14114E+19,6.38383E-12,5.00424E-12,-11.19491862,-11.30066213,3.50312E+15,0.111069259,1.016,1.036
IC2574,3.91,2.28,26.1,0.6,5.82,17.77,0,9.24,0,7.03608E+19,9.68167E-12,4.96932E-12,-11.01404975,-11.30370307,3.76285E+15,0.119304062,1.016,1.036
IC2574,3.91,2.55,27.7,2.7,6.87,18.7,0,8.42,0,7.8693E+19,9.75042E-12,5.04348E-12,-11.01097656,-11.29726934,3.95005E+15,0.125239415,1.016,1.036
IC2574,3.91,2.84,29.7,2.6,7.58,19.36,0,7.37,0,8.76424E+19,1.00646E-11,4.93216E-12,-10.99720136,-11.30696318,4.2154E+15,0.133652484,1.016,1.036
IC2574,3.91,3.13,33,3.4,8.21,19.89,0,6.93,0,9.65918E+19,1.12742E-11,4.79354E-12,-10.94791238,-11.31934407,4.48892E+15,0.142324766,1.016,1.036
IC2574,3.91,3.41,34.8,1.2,8.78,20.19,0,5.88,0,1.05233E+20,1.15082E-11,4.60622E-12,-10.93899181,-11.33665533,4.77972E+15,0.15154483,1.016,1.036
IC2574,3.91,3.7,35,0.9,8.64,20.15,0,5.69,0,1.14182E+20,1.07285E-11,4.2097E-12,-10.96946156,-11.37574873,5.20803E+15,0.165124494,1.016,1.036
IC2574,3.91,3.98,39,10.2,7.98,20.39,0,5.87,0,1.22823E+20,1.23837E-11,3.90345E-12,-10.90714978,-11.40855152,5.60939E+15,0.177849877,1.016,1.036
IC2574,3.91,4.26,35.9,5.4,7.97,21.28,0,6.08,0,1.31464E+20,9.80355E-12,3.92777E-12,-11.00861662,-11.40585352,5.78535E+15,0.183428929,1.016,1.036
IC2574,3.91,4.55,40,4.1,10.01,22.72,0,6.5,0,1.40413E+20,1.1395E-11,4.3899E-12,-10.94328734,-11.35754575,5.65557E+15,0.179314266,1.016,1.036
IC2574,3.91,4.84,38.7,1.4,11.42,24.6,0,5.76,0,1.49362E+20,1.00272E-11,4.92478E-12,-10.99881935,-11.3076135,5.50716E+15,0.174608628,1.016,1.036
IC2574,3.91,5.12,41.8,0.5,12.67,25.34,0,4.6,0,1.58003E+20,1.10583E-11,5.07993E-12,-10.95631332,-11.29414265,5.57705E+15,0.176824556,1.016,1.036
IC2574,3.91,5.41,42.9,0.4,13.13,25.74,0,4.3,0,1.66953E+20,1.10235E-11,5.00109E-12,-10.9576786,-11.30093558,5.77782E+15,0.183190393,1.016,1.036
IC2574,3.91,5.68,44.4,1.7,13.93,26.48,0,4.03,0,1.75285E+20,1.12466E-11,5.10732E-12,-10.94897832,-11.29180706,5.85835E+15,0.185743647,1.016,1.036
IC2574,3.91,5.97,46.1,1.3,14.5,27.15,0,3.42,0,1.84234E+20,1.15354E-11,5.14222E-12,-10.9379684,-11.28884948,5.98563E+15,0.18977901,1.016,1.036
IC2574,3.91,6.26,49,0.9,15.98,27.39,0,2.76,0,1.93184E+20,1.24286E-11,5.20527E-12,-10.90557809,-11.28355687,6.09205E+15,0.193153184,1.016,1.036
IC2574,3.91,6.54,51.9,0.6,17.58,27.31,0,2.14,0,2.01824E+20,1.33463E-11,5.22678E-12,-10.87463895,-11.28176547,6.21398E+15,0.197018895,1.016,1.036
IC2574,3.91,6.83,53.1,2.1,18.38,26.75,0,1.67,0,2.10774E+20,1.33774E-11,4.99771E-12,-10.87362758,-11.30122871,6.49416E+15,0.205902197,1.016,1.036
IC2574,3.91,7.1,54,0.5,19.29,26.25,0,1.55,0,2.19106E+20,1.33086E-11,4.84317E-12,-10.87586675,-11.3148707,6.72609E+15,0.213255772,1.016,1.036
IC2574,3.91,7.39,55.9,1.1,19.86,26.04,0,1.54,0,2.28055E+20,1.3702E-11,4.70281E-12,-10.86321674,-11.32764257,6.96372E+15,0.220790192,1.016,1.036
IC2574,3.91,7.68,58.8,3.6,21.01,25.86,0,1.4,0,2.37005E+20,1.45881E-11,4.68412E-12,-10.83600249,-11.32937168,7.11319E+15,0.225529171,1.016,1.036
IC2574,3.91,7.96,57.3,4.6,21.81,25.77,0,1.25,0,2.45646E+20,1.3366E-11,4.63989E-12,-10.87399975,-11.33349215,7.27613E+15,0.230695371,1.016,1.036
IC2574,3.91,8.25,54,9,22.49,25.57,0,1.12,0,2.54595E+20,1.14535E-11,4.55478E-12,-10.94106235,-11.3415323,7.47638E+15,0.237044234,1.016,1.036
IC2574,3.91,8.52,63.8,12,22.38,25.47,0,1.02,0,2.62927E+20,1.54812E-11,4.37226E-12,-10.81019416,-11.35929431,7.7547E+15,0.24586869,1.016,1.036
IC2574,3.91,8.81,60.5,6.2,22.6,25.41,0,0.92,0,2.71877E+20,1.34629E-11,4.2535E-12,-10.87086108,-11.37125319,7.99489E+15,0.253484158,1.016,1.036
IC2574,3.91,9.1,61,5.7,22.95,25.38,0,0.83,0,2.80826E+20,1.32502E-11,4.1693E-12,-10.87777764,-11.3799372,8.20705E+15,0.260210951,1.016,1.036
IC2574,3.91,9.38,66,1.3,23.63,25.51,0,0.75,0,2.89467E+20,1.50484E-11,4.17712E-12,-10.82251089,-11.37912325,8.32455E+15,0.263936416,1.016,1.036
IC2574,3.91,9.67,65.2,3.4,24.89,25.74,0,0.67,0,2.98416E+20,1.42453E-11,4.29621E-12,-10.8463272,-11.36691415,8.33428E+15,0.264244881,1.016,1.036
IC2574,3.91,9.96,67.1,4.7,25.8,24.84,0,0,0,3.07366E+20,1.46484E-11,4.17309E-12,-10.83421022,-11.37954181,8.5822E+15,0.272105204,1.016,1.036
IC2574,3.91,10.23,67.5,9.3,27.17,23.97,0,0,0,3.15698E+20,1.44323E-11,4.15831E-12,-10.84066401,-11.38108298,8.71319E+15,0.276258454,1.016,1.036
IC4202,100.4,0.77,35.1,3.96,2.22,20.98,133.76,335.17,2678.7,2.37622E+19,5.18475E-11,7.71681E-10,-10.28527241,-9.112562473,1.75479E+14,0.005563689,179.749,12.326
KK98-251,6.8,0.25,4.25,2,1.87,2.88,0,8.69,0,7.715E+18,2.34122E-12,1.52836E-12,-11.63055807,-11.81577424,2.24675E+15,0.071234995,0.085,0.115
KK98-251,6.8,0.41,6.84,2,3.32,3.93,0,6.61,0,1.26526E+19,3.69771E-12,2.09185E-12,-11.43206758,-11.67947014,2.45938E+15,0.077976416,0.085,0.115
KK98-251,6.8,0.57,9.56,2,4.8,4.8,0,6.95,0,1.75902E+19,5.19571E-12,2.61964E-12,-11.28435499,-11.58175831,2.59128E+15,0.082158567,0.085,0.115
KK98-251,6.8,0.74,12.3,2,6.44,6.36,0,6.78,0,2.28364E+19,6.62495E-12,3.5874E-12,-11.17881742,-11.44522073,2.52304E+15,0.079994937,0.085,0.115
KK98-251,6.8,0.9,15.1,2,8.03,7.43,0,5.71,0,2.7774E+19,8.20948E-12,4.30927E-12,-11.08568454,-11.3655958,2.53873E+15,0.080492502,0.085,0.115
KK98-251,6.8,1.07,17.5,2,9.79,8.56,0,5.63,0,3.30202E+19,9.27463E-12,5.12164E-12,-11.0327036,-11.29059064,2.53913E+15,0.080505116,0.085,0.115
KK98-251,6.8,1.24,19.7,2,11.57,9.52,0,4.46,0,3.82664E+19,1.01418E-11,5.86664E-12,-10.99388515,-11.23161035,2.55396E+15,0.080975249,0.085,0.115
KK98-251,6.8,1.4,21.8,2,13.11,10.08,0,3.87,0,4.3204E+19,1.09999E-11,6.32993E-12,-10.95861097,-11.19860077,2.61254E+15,0.082832482,0.085,0.115
KK98-251,6.8,1.57,24.4,2,14.44,10.55,0,3.42,0,4.84502E+19,1.22881E-11,6.60092E-12,-10.91051592,-11.18039525,2.70923E+15,0.085898133,0.085,0.115
KK98-251,6.8,1.72,27.3,2,15.54,10.95,0,3.02,0,5.30792E+19,1.40411E-11,6.80858E-12,-10.85259907,-11.16694331,2.79212E+15,0.088526267,0.085,0.115
KK98-251,6.8,1.89,30.3,2,16.53,11.36,0,2.62,0,5.83254E+19,1.57408E-11,6.89735E-12,-10.80297247,-11.16131795,2.90796E+15,0.092198987,0.085,0.115
KK98-251,6.8,2.06,32.6,2,17.3,11.57,0,2.28,0,6.35716E+19,1.67175E-11,6.81365E-12,-10.77682794,-11.16661991,3.05451E+15,0.096845587,0.085,0.115
KK98-251,6.8,2.46,33.3,2,18.07,12.23,0,1.69,0,7.59156E+19,1.46069E-11,6.27141E-12,-10.83544256,-11.20263485,3.47923E+15,0.110311617,0.085,0.115
KK98-251,6.8,2.79,34.6,2,18.07,12.94,0,1.34,0,8.60994E+19,1.39044E-11,5.73719E-12,-10.85684793,-11.24130087,3.87392E+15,0.122825576,0.085,0.115
KK98-251,6.8,3.13,34.2,2,17.41,12.45,0,0,0,9.65918E+19,1.21091E-11,4.74275E-12,-10.91688805,-11.32396992,4.51289E+15,0.143084767,0.085,0.115
NGC0024,7.3,0.21,17.4,6.51,1.51,18.55,0,410.75,0,6.4806E+18,4.67179E-11,5.34492E-11,-10.33051672,-10.27205915,3.48207E+14,0.011040163,3.889,0.676
NGC0024,7.3,0.32,31,8.86,2.27,25.65,0,307.43,0,9.8752E+18,9.73145E-11,6.71455E-11,-10.01182251,-10.17298298,3.83499E+14,0.012159137,3.889,0.676
NGC0024,7.3,0.43,36.1,8.16,3.03,29.58,0,268.58,0,1.32698E+19,9.82087E-11,6.66293E-11,-10.00784997,-10.17633484,4.46272E+14,0.014149397,3.889,0.676
NGC0024,7.3,0.54,46,8.52,3.84,33.96,0,241.26,0,1.66644E+19,1.26977E-10,7.00912E-11,-9.896274018,-10.15433673,4.87599E+14,0.015459716,3.889,0.676
NGC0024,7.3,0.64,58,6.9,4.53,36.83,0,222.69,0,1.97504E+19,1.70326E-10,6.97186E-11,-9.768719909,-10.15665148,5.32248E+14,0.016875319,3.889,0.676
NGC0024,7.3,0.74,63.4,9.55,5.28,39.62,0,212.03,0,2.28364E+19,1.76015E-10,6.99595E-11,-9.754449126,-10.15515339,5.71335E+14,0.018114603,3.889,0.676
NGC0024,7.3,0.85,71.9,8.52,6.04,43.11,0,206.1,0,2.6231E+19,1.9708E-10,7.2241E-11,-9.705357067,-10.14121624,6.02581E+14,0.0191053,3.889,0.676
NGC0024,7.3,0.96,76.4,6.82,6.8,46.75,0,191.46,0,2.96256E+19,1.97024E-10,7.53336E-11,-9.705480438,-10.1230114,6.27104E+14,0.019882802,3.889,0.676
NGC0024,7.3,1.07,78.1,6.65,7.62,50.04,0,179.91,0,3.30202E+19,1.84724E-10,7.75909E-11,-9.733477632,-10.11018939,6.52356E+14,0.020683444,3.889,0.676
NGC0024,7.3,1.17,80.5,6.14,8.31,52.76,0,167.35,0,3.61062E+19,1.79477E-10,7.90079E-11,-9.745990023,-10.10232969,6.76014E+14,0.021433547,3.889,0.676
NGC0024,7.3,1.28,82.8,5.8,9.07,55.72,0,159.14,0,3.95008E+19,1.73562E-10,8.06815E-11,-9.760545218,-10.0932261,6.99707E+14,0.022184738,3.889,0.676
NGC0024,7.3,1.38,85.6,6.48,9.82,58.31,0,150.35,0,4.25868E+19,1.72057E-10,8.21026E-11,-9.764327479,-10.0856429,7.2021E+14,0.022834803,3.889,0.676
NGC0024,7.3,1.48,88,7.5,10.57,61.08,0,139.46,0,4.56728E+19,1.69554E-10,8.41308E-11,-9.770692293,-10.07504474,7.36803E+14,0.023360896,3.889,0.676
NGC0024,7.3,1.59,92,8.52,11.19,63.47,0,125.67,0,4.90674E+19,1.72497E-10,8.46521E-11,-9.763217391,-10.07236242,7.61338E+14,0.02413882,3.889,0.676
NGC0024,7.3,1.7,92.4,8.52,11.92,65.59,0,111.41,0,5.2462E+19,1.62742E-10,8.47115E-11,-9.788500901,-10.07205765,7.86957E+14,0.024951092,3.889,0.676
NGC0024,7.3,1.8,95.1,9.2,12.54,66.83,0,99.69,0,5.5548E+19,1.62814E-10,8.32343E-11,-9.788307393,-10.07969752,8.16926E+14,0.025901283,3.889,0.676
NGC0024,7.3,1.91,96.5,8.52,13.26,68.03,0,87.79,0,5.89426E+19,1.57988E-10,8.15015E-11,-9.801374662,-10.08883456,8.50417E+14,0.026963126,3.889,0.676
NGC0024,7.3,2.02,101,8.86,13.88,68.59,0,77.06,0,6.23372E+19,1.63642E-10,7.85605E-11,-9.786104544,-10.10479568,8.90782E+14,0.028242933,3.889,0.676
NGC0024,7.3,2.13,99.9,9.55,14.61,69,0,68.97,0,6.57318E+19,1.51829E-10,7.5678E-11,-9.818644549,-10.12103027,9.31972E+14,0.029548893,3.889,0.676
NGC0024,7.3,2.23,103,8.18,15.23,69.17,0,63.99,0,6.88178E+19,1.54161E-10,7.28945E-11,-9.812026335,-10.13730501,9.71634E+14,0.030806418,3.889,0.676
NGC0024,7.3,2.34,104,8.52,15.96,69.56,0,57.94,0,7.22124E+19,1.4978E-10,7.05324E-11,-9.824545101,-10.15161123,1.01184E+15,0.032081142,3.889,0.676
NGC0024,7.3,2.44,107,9.2,16.58,69.75,0,52.31,0,7.52984E+19,1.52048E-10,6.82612E-11,-9.818018193,-10.1658261,1.05028E+15,0.0333,3.889,0.676
NGC0024,7.3,2.54,107,9.55,17.3,69.69,0,47.47,0,7.83844E+19,1.46062E-10,6.57782E-11,-9.835462083,-10.1819179,1.09163E+15,0.034610835,3.889,0.676
NGC0024,7.3,2.65,106,11.2,17.92,69.65,0,43.16,0,8.1779E+19,1.37395E-10,6.32467E-11,-9.862030065,-10.19896238,1.13711E+15,0.036052916,3.889,0.676
NGC0024,7.3,2.76,107,11.2,18.55,69.52,0,39.28,0,8.51736E+19,1.3442E-10,6.07833E-11,-9.871537448,-10.21621569,1.18375E+15,0.037531736,3.889,0.676
NGC0024,7.3,7.07,104,3.11,26.32,52.21,0,1.7,0,2.1818E+20,4.95737E-11,1.56688E-11,-10.30474866,-10.80496368,3.73155E+15,0.118311734,3.889,0.676
NGC0024,7.3,8.49,106,2.55,24.76,47.19,0,0.49,0,2.62001E+20,4.28853E-11,1.08395E-11,-10.36769188,-10.96499235,4.91641E+15,0.155878527,3.889,0.676
NGC0024,7.3,9.91,109,4.95,22.59,43.11,0,0.19,0,3.05823E+20,3.88493E-11,7.7456E-12,-10.41061658,-11.11094481,6.28358E+15,0.199225766,3.889,0.676
NGC0024,7.3,11.27,110,2.83,20.52,40.05,0,0,0,3.47792E+20,3.47909E-11,5.82265E-12,-10.45853447,-11.23487918,7.72858E+15,0.245040471,3.889,0.676
NGC0055,2.11,1.23,28.7,3.4,13.65,27.5,0,58,0,3.79578E+19,2.17002E-11,2.48321E-11,-10.66353724,-10.60498627,1.23636E+15,0.039199629,4.628,1.565
NGC0055,2.11,1.84,37.6,2.6,18.65,32.63,0,38.02,0,5.67824E+19,2.48979E-11,2.48764E-11,-10.60383805,-10.60421317,1.51082E+15,0.047901793,4.628,1.565
NGC0055,2.11,2.46,43.1,1.2,21.85,36.38,0,29.5,0,7.59156E+19,2.44694E-11,2.37228E-11,-10.61137649,-10.62483494,1.78889E+15,0.056718051,4.628,1.565
NGC0055,2.11,3.07,50.1,2.8,25.04,38.7,0,21.65,0,9.47402E+19,2.64936E-11,2.24265E-11,-10.57685885,-10.6492384,2.05535E+15,0.065166539,4.628,1.565
NGC0055,2.11,3.68,58.1,4.5,28.73,39.68,0,16.32,0,1.13565E+20,2.97241E-11,2.11326E-11,-10.52689148,-10.67504783,2.31817E+15,0.073499451,4.628,1.565
NGC0055,2.11,4.3,64.6,4.1,32.28,39.98,0,13.06,0,1.32698E+20,3.14486E-11,1.98978E-11,-10.50239934,-10.70119485,2.58244E+15,0.081878132,4.628,1.565
NGC0055,2.11,4.91,68.5,2.7,34.59,39.99,0,10.93,0,1.51523E+20,3.09673E-11,1.84505E-11,-10.50909627,-10.73399179,2.86573E+15,0.090860037,4.628,1.565
NGC0055,2.11,5.52,72.3,0.8,36.37,39.87,0,9.36,0,1.70347E+20,3.06861E-11,1.70968E-11,-10.5130584,-10.7670849,3.15653E+15,0.100080222,4.628,1.565
NGC0055,2.11,6.14,74.2,2.4,37.73,39.71,0,8.35,0,1.8948E+20,2.90565E-11,1.58351E-11,-10.53675648,-10.80037978,3.45917E+15,0.109675683,4.628,1.565
NGC0055,2.11,6.75,78.9,2.6,38.68,39.75,0,7.82,0,2.08305E+20,2.98851E-11,1.47678E-11,-10.52454569,-10.83068443,3.75571E+15,0.119077683,4.628,1.565
NGC0055,2.11,7.37,82.4,2.3,39.3,40.35,0,7.39,0,2.27438E+20,2.98532E-11,1.39493E-11,-10.52500899,-10.85544638,4.03789E+15,0.128024534,4.628,1.565
NGC0055,2.11,7.98,84.3,4.8,39.72,41.04,0,6.69,0,2.46263E+20,2.88573E-11,1.32458E-11,-10.53974366,-10.87792018,4.31181E+15,0.136709221,4.628,1.565
NGC0055,2.11,8.59,85.4,7.3,40.39,41.57,0,5.95,0,2.65087E+20,2.75123E-11,1.26729E-11,-10.56047334,-10.89712517,4.57359E+15,0.145009161,4.628,1.565
NGC0055,2.11,9.21,85.3,4.6,40.44,42.03,0,5.36,0,2.84221E+20,2.56002E-11,1.19693E-11,-10.59175749,-10.92193216,4.87297E+15,0.15450131,4.628,1.565
NGC0055,2.11,9.82,86.8,4,39.94,42.44,0,4.85,0,3.03045E+20,2.48618E-11,1.12074E-11,-10.60446796,-10.95049405,5.19997E+15,0.164869014,4.628,1.565
NGC0055,2.11,10.43,85.4,5.7,39.15,42.87,0,4.39,0,3.2187E+20,2.26587E-11,1.04718E-11,-10.64476449,-10.97997824,5.54408E+15,0.175779226,4.628,1.565
NGC0055,2.11,11.05,85.4,7,37.71,43.32,0,3.97,0,3.41003E+20,2.13874E-11,9.67342E-12,-10.66984246,-11.01441979,5.9373E+15,0.188246671,4.628,1.565
NGC0055,2.11,11.66,86.2,4.1,36.23,43.95,0,3.59,0,3.59828E+20,2.065E-11,9.01603E-12,-10.68507994,-11.04498479,6.31742E+15,0.200298613,4.628,1.565
NGC0055,2.11,12.28,86.1,6.2,35.41,44.71,0,3.25,0,3.78961E+20,1.95619E-11,8.58361E-12,-10.70858799,-11.06632996,6.6445E+15,0.210668903,4.628,1.565
NGC0055,2.11,12.89,87.4,2.5,34.67,45.88,0,2.94,0,3.97785E+20,1.92032E-11,8.31349E-12,-10.71662597,-11.08021684,6.91724E+15,0.219316421,4.628,1.565
NGC0055,2.11,13.5,86.5,5.5,33.61,48,0,0,0,4.1661E+20,1.79598E-11,8.24184E-12,-10.74569748,-11.08397593,7.10973E+15,0.225419313,4.628,1.565
NGC0100,13.5,0.23,6.81,8.19,-0.86,9.67,0,142.64,0,7.0978E+18,6.53387E-12,1.32786E-11,-11.18482953,-10.87684931,7.31116E+14,0.023180609,3.232,1.99
NGC0100,13.5,0.69,20,4.09,-1.93,23.77,0,114.33,0,2.12934E+19,1.87852E-11,2.67096E-11,-10.72618502,-10.57333292,8.92872E+14,0.028309179,3.232,1.99
NGC0100,13.5,1.15,33,4,-3.62,34.7,0,92.98,0,3.5489E+19,3.06856E-11,3.42978E-11,-10.51306588,-10.46473382,1.01722E+15,0.032251662,3.232,1.99
NGC0100,13.5,1.59,42.7,4,-4.31,41.73,0,70,0,4.90674E+19,3.71589E-11,3.58684E-11,-10.4299373,-10.44528803,1.16961E+15,0.03708334,3.232,1.99
NGC0100,13.5,2.05,49.9,4,-3.92,46.7,0,54.62,0,6.3263E+19,3.93597E-11,3.47163E-11,-10.40494869,-10.45946674,1.34992E+15,0.042800276,3.232,1.99
NGC0100,13.5,2.51,55.5,4,3.21,50.33,0,43.18,0,7.74586E+19,3.97664E-11,3.28358E-11,-10.40048368,-10.48365276,1.53589E+15,0.048696698,3.232,1.99
NGC0100,13.5,2.97,61.9,4,7.43,53.12,0,33.14,0,9.16542E+19,4.18051E-11,3.13891E-11,-10.37877107,-10.50322167,1.70878E+15,0.054178295,3.232,1.99
NGC0100,13.5,3.42,67.9,4,10.05,55.1,0,25.5,0,1.05541E+20,4.36835E-11,2.97231E-11,-10.35968248,-10.52690578,1.88436E+15,0.059745089,3.232,1.99
NGC0100,13.5,3.88,73.1,4,11.97,55.08,0,16.1,0,1.19737E+20,4.4628E-11,2.65339E-11,-10.35039289,-10.5761985,2.12429E+15,0.067352138,3.232,1.99
NGC0100,13.5,4.34,76.1,3,13.61,54.16,0,13.06,0,1.33932E+20,4.32398E-11,2.32844E-11,-10.36411634,-10.63293465,2.39834E+15,0.076041113,3.232,1.99
NGC0100,13.5,4.79,77.8,5.34,14.82,53.32,0,9.76,0,1.47819E+20,4.09475E-11,2.07189E-11,-10.38777224,-10.68363339,2.67105E+15,0.084687775,3.232,1.99
NGC0100,13.5,5.24,79,4,15.7,52.48,0,7.4,0,1.61706E+20,3.85946E-11,1.85561E-11,-10.41347303,-10.73151326,2.95203E+15,0.09359627,3.232,1.99
NGC0100,13.5,5.7,78.5,5.6,16.36,50.92,0,5.05,0,1.75902E+20,3.50323E-11,1.62619E-11,-10.45553146,-10.78882943,3.2889E+15,0.104276973,3.232,1.99
NGC0100,13.5,6.16,79.8,7.15,16.58,49.36,0,4.2,0,1.90098E+20,3.34988E-11,1.42627E-11,-10.47497085,-10.8457981,3.65079E+15,0.115751247,3.232,1.99
NGC0100,13.5,7.16,83.4,5.12,17.02,46.44,0,2.37,0,2.20958E+20,3.14792E-11,1.10716E-11,-10.50197684,-10.95578964,4.46734E+15,0.14164055,3.232,1.99
