ID,Distance,Galactocentric Radius,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBbul,Radius,gobs,gbar,L10(gobs),L10(gbar),tdyn,tdyn,Luminosity,Mass
,Mpc,kpc,km/s,km/s,km/s,km/s,km/s,,,m,m/s2,,,,seconds,Gyr,,
D631-7,7.72,5.84,58.4,3.27,18.25,12.45,0,0.01,0,1.80222E+20,1.89242E-11,2.70813E-12,-10.72298307,-11.5673311,8.15774E+15,0.258647478,0.196,0.29
D631-7,7.72,6.29,58.5,3.95,17.65,11.93,0,0.01,0,1.94109E+20,1.76305E-11,2.3381E-12,-10.75373484,-11.63113672,9.11154E+15,0.288888299,0.196,0.29
D631-7,7.72,6.74,57.7,4.07,17.06,11.48,0,0,0,2.07996E+20,1.60065E-11,2.03289E-12,-10.79570419,-11.69188592,1.01151E+16,0.320707546,0.196,0.29
D631-7,7.72,7.19,57.3,3.94,16.47,11.08,0,0,0,2.21883E+20,1.47974E-11,1.77583E-12,-10.82981557,-11.7505985,1.11779E+16,0.354405103,0.196,0.29
DDO064,6.8,0.1,6.29,4.62,-1.13,1.96,0,28.5,0,3.086E+18,1.28205E-11,1.65862E-12,-10.89209463,-11.78025321,1.36403E+15,0.043247686,0.157,0.211
DDO064,6.8,0.3,13.9,4.62,-2.45,6.31,0,27.26,0,9.258E+18,2.08695E-11,4.94908E-12,-10.68048758,-11.30547536,1.36772E+15,0.043364524,0.157,0.211
DDO064,6.8,0.49,15.6,4.62,-0.64,9.67,0,24.99,0,1.51214E+19,1.60937E-11,6.21097E-12,-10.79334281,-11.20684085,1.56033E+15,0.049471461,0.157,0.211
DDO064,6.8,0.69,18.4,4.62,2.49,13.92,0,20.86,0,2.12934E+19,1.58998E-11,9.39101E-12,-10.79860937,-11.02728777,1.5058E+15,0.04774245,0.157,0.211
DDO064,6.8,0.89,22.5,4.62,1.87,15.16,0,13.91,0,2.74654E+19,1.84323E-11,8.49514E-12,-10.73442089,-11.07082931,1.79807E+15,0.057009329,0.157,0.211
DDO064,6.8,1.09,26.5,4.62,4.97,16.41,0,11.73,0,3.36374E+19,2.08771E-11,8.73994E-12,-10.68033067,-11.05849134,1.96181E+15,0.062200688,0.157,0.211
DDO064,6.8,1.29,35.3,4.62,9.29,17.34,0,10.3,0,3.98094E+19,3.13014E-11,9.72081E-12,-10.50443622,-11.01229745,2.02368E+15,0.064162289,0.157,0.211
DDO064,6.8,1.48,40.5,4.62,13.62,18.34,0,7.96,0,4.56728E+19,3.59131E-11,1.14261E-11,-10.44474759,-10.94210363,1.99931E+15,0.063389736,0.157,0.211
DDO064,6.8,1.68,44.2,4.89,16.26,19.12,0,6.72,0,5.18448E+19,3.76825E-11,1.21509E-11,-10.42386066,-10.91539085,2.06561E+15,0.065491711,0.157,0.211
DDO064,6.8,1.88,46.3,4.62,18.16,19.54,0,3.97,0,5.80168E+19,3.69495E-11,1.22654E-11,-10.43239179,-10.91131954,2.17489E+15,0.068956461,0.157,0.211
